Equity,DateNumber,LAST_lag1,LAST_lag2,LAST_lag3,LAST,VOLUME_lag1,VOLUME_lag2,VOLUME_lag3,VOLUME,HIGH_lag1,HIGH_lag2,HIGH_lag3,HIGH,LOW_lag1,LOW_lag2,LOW_lag3,LOW,MA(5),MA(20),EWMA(20),MACD,SIGNAL,Histogram,RSI(14),BolBandUpper,BolBandLower,FastStochastic(k%),FastStochastic(d%),SlowStochastic(d%),Momentum(7),RateOfChange(7),MovingVariance,CCI,Chaikin,DisparityIndex(10),WilliamR(10),Volatility(20),Volatility(10),Significant_daily_price_rise_shift,Significant_daily_price_fall_shift
SBI,730818,0.0493795018658,0.0486563105673,0.0467470855391,0.0473545662299,0.0405972151445,0.0429492095667,0.0124801826347,0.0101232769961,0.0489711461087,0.048367628463,0.0460972525578,0.0486550178181,0.0489995319448,0.0477123800608,0.0461034402059,0.047653873157,0.0583830563053,0.0589760537671,0.0493492426942,0.404550290855,0.390475695349,0.473144341652,0.563728497044,0.0451727815901,0.107411159689,0.600877192982,0.795999660988,0.781520023591,0.34007196598,0.162750256837,0.000188518832134,0.0,0.00482072914148,0.0,0.399122807018,0.0372097735082,0.0418878125563,0.0,1.0
SBI,730556,0.0473545662299,0.0493795018658,0.0486563105673,0.0452428476381,0.0101232769961,0.0405972151445,0.0429492095667,0.0143068287207,0.0486550178181,0.0489711461087,0.048367628463,0.0459535578802,0.047653873157,0.0489995319448,0.0477123800608,0.0455768780716,0.0583416204953,0.0591320301328,0.0489828589988,0.402375119751,0.390251556262,0.469072337263,0.428918703385,0.0449170099176,0.107988872247,0.280701754386,0.59649122807,0.753212243453,0.339614000654,0.16155723408,0.000186016161313,0.0,0.00482210262421,0.0,0.719298245614,0.031723018738,0.0415832044519,0.0,0.0
SBI,730587,0.0452428476381,0.0473545662299,0.0493795018658,0.0449246434667,0.0143068287207,0.0101232769961,0.0405972151445,0.0188683391552,0.0459535578802,0.0486550178181,0.0489711461087,0.0448327393953,0.0455768780716,0.047653873157,0.0489995319448,0.0449918090335,0.0579686982052,0.0592123347963,0.0486229118165,0.400275601706,0.389620347993,0.465940031223,0.411556957244,0.0447949320598,0.108276154229,0.232456140351,0.37134502924,0.59619655405,0.337062479555,0.154705405966,0.000223927207771,0.0,0.00482962217716,0.0,0.916230366492,0.0290379205184,0.0431296852479,0.0,0.0
SBI,730617,0.0449246434667,0.0452428476381,0.0473545662299,0.0450114264225,0.0188683391552,0.0143068287207,0.0101232769961,0.0108266588233,0.0448327393953,0.0459535578802,0.0486550178181,0.0448614783308,0.0449918090335,0.0455768780716,0.047653873157,0.0453428504564,0.057222853625,0.0592061575145,0.0483531832233,0.398565366452,0.388747273002,0.464078921048,0.418583331577,0.0447969155466,0.108261884972,0.245614035088,0.252923976608,0.412630810629,0.338501799149,0.158541289281,0.000240621494306,0.0,0.00481246710693,0.0,0.900523560209,0.0291451232065,0.0454184562411,0.0,0.0
SBI,730648,0.0450114264225,0.0449246434667,0.0452428476381,0.0459949665886,0.0108266588233,0.0188683391552,0.0143068287207,0.0114020529856,0.0448614783308,0.0448327393953,0.0459535578802,0.0467582480745,0.0453428504564,0.0449918090335,0.0455768780716,0.045459864264,0.0565302836577,0.0591783597464,0.0483439974105,0.397857372838,0.387896425565,0.464249957088,0.497108161952,0.0447559067124,0.108250454343,0.394736842105,0.290935672515,0.309349565813,0.337782139352,0.156697491344,0.000246822229304,0.0,0.00480958108313,0.0,0.726315789474,0.0289595262748,0.043801854394,0.0,0.0
SBI,730678,0.0459949665886,0.0450114264225,0.0449246434667,0.0449824987706,0.0114020529856,0.0108266588233,0.0188683391552,0.0157039445296,0.0467582480745,0.0448614783308,0.0448327393953,0.046729509139,0.045459864264,0.0453428504564,0.0449918090335,0.0454306108121,0.0560448927404,0.0591783597464,0.0481239753142,0.396434121143,0.386909409134,0.463202167225,0.425183252279,0.0447559067124,0.108250454343,0.241228070175,0.293859649123,0.283158628132,0.331174353942,0.139924959503,0.000207933669067,0.0,0.00482717879329,0.0,0.910526315789,0.0289595262748,0.0460194372652,0.0,0.0
SBI,730770,0.0449824987706,0.0459949665886,0.0450114264225,0.0449824987706,0.0157039445296,0.0114020529856,0.0108266588233,0.0075650038958,0.046729509139,0.0467582480745,0.0448614783308,0.0448614783308,0.0454306108121,0.045459864264,0.0453428504564,0.0449918090335,0.0559916181276,0.0591768154259,0.0479479576373,0.395231912257,0.385861034419,0.462730028989,0.425183252279,0.0447565089919,0.108246774555,0.0942408376963,0.243401916659,0.279940063825,0.329538763494,0.13604929688,5.97991110209e-05,0.0,0.00483658843569,0.0,0.910526315789,0.0289877623078,0.0472080297615,0.0,1.0
SBI,730801,0.0449824987706,0.0449824987706,0.0459949665886,0.0426393589632,0.0075650038958,0.0157039445296,0.0114020529856,0.019913244084,0.0448614783308,0.046729509139,0.0467582480745,0.0443441774917,0.0449918090335,0.0454306108121,0.045459864264,0.0426515328809,0.0555239854146,0.0590486368283,0.0473149563778,0.392445669021,0.384422627986,0.459728822408,0.291254403217,0.0449928179595,0.107744411324,0.0592592592593,0.13157605571,0.226074705145,0.328819103696,0.133269261914,7.89960683762e-05,0.0,0.00484846871142,0.0,0.940740740741,0.0338355429269,0.0590974012501,0.0,0.0
SBI,730831,0.0426393589632,0.0449824987706,0.0449824987706,0.0420029506205,0.019913244084,0.0075650038958,0.0157039445296,0.0170339656839,0.0443441774917,0.0448614783308,0.046729509139,0.043798137717,0.0426515328809,0.0449918090335,0.0454306108121,0.0422419845542,0.0549083676659,0.0588880275013,0.0466748749185,0.389740052068,0.382689550056,0.457461391326,0.264339493099,0.0452727892462,0.107131990136,0.0281690140845,0.0605563703467,0.147215549703,0.332155708211,0.141268892998,0.000156490534264,0.0,0.00486222731947,0.0,0.971830985915,0.0397227674401,0.0628760599931,0.0,0.0
SBI,730832,0.0420029506205,0.0426393589632,0.0449824987706,0.040238363852,0.0170339656839,0.019913244084,0.0075650038958,0.0241095862252,0.043798137717,0.0443441774917,0.0448614783308,0.0421312794574,0.0422419845542,0.0426515328809,0.0449918090335,0.0404867774397,0.0537304067813,0.0586316703061,0.0457921503166,0.386275773635,0.38055744181,0.454390942552,0.202528939361,0.0457904219906,0.106079682812,0.0203488372093,0.0359257035177,0.0770862354967,0.328884527314,0.132202243835,0.000323433399609,0.0,0.00488239452957,0.0,0.978978978979,0.0501422784028,0.0638070795811,0.0,1.0
